STATUS | wrapper  | 2023/12/21 03:44:21 | --> Wrapper Started as Console
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:349)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.base/java.lang.Thread.run(Thread.java:829)
INFO   | jvm 2    | 2023/12/21 03:44:44 | 2023-12-21 03:44:44,907 FATAL [WrapperSimpleAppMain] [RemoteAgentBootstrap] Exiting due to fatal exception.
INFO   | jvm 2    | 2023/12/21 03:44:44 | java.lang.IllegalArgumentException: URLDecoder: Illegal hex characters in escape (%) pattern - Error at index 0 in: ";""
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.net.URLDecoder.decode(URLDecoder.java:232) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.net.URLDecoder.decode(URLDecoder.java:142) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.processPair(GetFingerprintResponse.java:45) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.<init>(GetFingerprintResponse.java:30) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initFingerprint(AgentContext.java:133) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initServerSession(AgentContext.java:114) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.run(AgentContext.java:101) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.run(RemoteAgentBootstrap.java:118) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.main(RemoteAgentBootstrap.java:56) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at com.atlassian.bamboo.agent.bootstrap.AgentBootstrap.main(AgentBootstrap.java:21) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:349) ~[wrapper.jar:3.5.50]
INFO   | jvm 2    | 2023/12/21 03:44:44 | 	at java.lang.Thread.run(Thread.java:829) ~[?:?]
STATUS | wrapper  | 2023/12/21 03:44:46 | on_exit trigger matched.  Restarting the JVM.  (Exit code: 1)
STATUS | wrapper  | 2023/12/21 03:44:51 | Launching a JVM...
INFO   | jvm 3    | 2023/12/21 03:44:52 | WrapperManager: Initializing...
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,648 INFO [WrapperSimpleAppMain] [RemoteAgentBootstrap] Starting Agent Bootstrap using Java 11.0.21 from Eclipse Adoptium. Default charset: UTF-8, file name encoding: UTF-8
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,651 INFO [WrapperSimpleAppMain] [RemoteAgentBootstrap] Agent bootstrap using endpoint: http://bamboo-server:8085/agentServer
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,656 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,656 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,657 INFO [WrapperSimpleAppMain] [AgentUuidInitializer] Found agent UUID '85bb9ffd-7c93-4271-93e3-effff5aacf91' in temporary UUID file '/var/atlassian/application-data/bamboo-agent/uuid-temp.properties'
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,657 INFO [WrapperSimpleAppMain] [RemoteAgentHomeLocatorForBootstrap] Using agent home located at [/var/atlassian/application-data/bamboo-agent]
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,658 INFO [WrapperSimpleAppMain] [AgentContext] Requesting fingerprint, url: http://bamboo-server:8085/agentServer/GetFingerprint.action?hostName=b46f2a1ada5c&version=4&agentUuid=85bb9ffd-7c93-4271-93e3-effff5aacf91
